"lng","lat"
"-87.5562","41.73953"
"-87.6310","41.67463"
"-87.6464","41.73295"
"-87.6854","42.01420"
"-87.6740","41.57925"
"-87.7480","41.80888"
"-87.8435","41.87857"
"-87.6317","41.61783"
"-87.7586","41.52248"
"-87.8474","41.86483"
"-87.6179","41.70214"
"-87.5588","41.62635"
"-87.6702","41.47673"
"-87.6489","41.76930"
"-87.7002","42.04504"
"-87.7214","41.48863"
"-87.7673","41.91384"
"-87.6071","41.72853"
"-87.7041","42.04287"
"-87.6469","41.51060"
"-87.6563","41.74228"
"-87.6419","41.75376"
"-87.6355","41.87865"
"-87.8391","41.84626"
"-87.7152","41.85866"
"-87.6986","41.87659"
"-87.5964","41.75937"
"-87.8014","41.92465"
"-87.6319","41.68909"
"-87.5527","41.53080"
"-87.5862","41.73342"
"-87.6124","41.73763"
"-87.5529","41.75528"
"-87.7656","41.90889"
"-87.6310","41.72655"
"-87.6506","41.60833"
"-87.8817","41.88390"
"-87.6915","41.98139"
"-87.7552","41.89872"
"-87.7236","42.04411"
"-87.7102","41.47498"
"-87.8750","41.87296"
"-87.8402","41.86493"
"-88.2045","42.01335"
"-87.7667","41.92508"
"-87.6436","41.67457"
"-87.9138","42.08373"
"-87.6232","41.67088"
"-87.7950","41.85908"
"-87.6523","41.71673"
"-87.7161","41.73620"
"-87.7703","41.88982"
"-87.7300","41.71779"
"-87.6062","41.62958"
"-87.6584","41.67533"
"-87.7231","41.90017"
"-87.5824","41.62933"
"-87.7412","41.70584"
"-87.5994","41.65363"
"-87.5688","41.73971"
"-87.6535","41.74615"
"-87.6719","41.78537"
"-87.5673","41.77050"
"-87.7446","41.95505"
"-87.5930","41.81346"
"-87.6433","41.69681"
"-87.6535","41.70157"
"-87.7079","41.74163"
"-87.6588","41.75288"
"-87.7611","41.90048"
"-87.6940","41.50069"
"-87.6307","41.77317"
"-87.5795","41.79710"
"-87.6712","41.70063"
"-87.5380","41.54029"
"-87.8564","42.04427"
"-87.6582","41.61213"
"-87.6238","41.74566"
"-87.5521","41.61960"
"-87.6206","41.70507"
"-87.7192","41.74202"
"-87.5661","41.75911"
"-87.8199","41.73751"
"-87.5727","41.67515"
"-87.8441","41.89931"
"-87.7022","41.91284"
"-87.6291","41.70892"
"-87.6510","41.90195"
"-87.9709","42.04072"
"-87.5904","41.80830"
"-87.7626","41.90786"
"-87.6892","41.74468"
"-87.7558","41.90538"
"-87.7695","41.89925"
"-88.1629","41.99388"
"-87.7233","41.69233"
"-87.6139","41.72707"
"-87.6524","41.72525"
"-87.6941","41.83532"
"-87.8337","41.99217"
"-87.6098","41.69360"
"-87.6719","41.57883"
"-87.6806","41.48580"
"-87.7976","41.86605"
"-87.7075","41.48873"
"-87.9133","41.88359"
"-87.6523","41.73653"
"-87.6337","41.80934"
"-87.6212","41.88880"
"-87.7168","41.88842"
"-87.6257","41.79575"
"-87.7523","41.84532"
"-87.6071","41.47397"
"-87.6154","41.75858"
"-87.6016","41.79794"
"-87.6362","41.59898"
"-87.5935","41.77731"
"-87.6513","41.72749"
"-87.6950","41.57696"
"-87.5944","41.62030"
"-87.6440","41.65748"
"-87.6297","41.68977"
"-87.6297","41.62366"
"-87.6115","41.78072"
"-87.6951","41.87301"
"-88.2632","42.05617"
"-87.7138","41.89961"
"-87.5930","41.63006"
"-87.5820","41.76671"
"-87.6249","41.80927"
"-87.6092","41.70141"
"-87.7120","41.89922"
"-87.6339","41.72373"
"-87.6443","41.75829"
"-87.6252","41.67274"
"-87.5912","41.80286"
"-87.5678","41.53713"
"-87.6307","41.63352"
"-87.6267","41.87146"
"-87.6971","41.72261"
"-87.6533","41.73631"
"-87.6843","41.87622"
"-87.5691","41.49479"
"-87.6555","41.70022"
"-87.6664","41.66209"
"-87.7036","41.49048"
"-87.7437","41.89243"
"-87.6242","41.67989"
"-87.5683","41.62509"
"-87.6787","41.73578"
"-87.7742","41.90234"
"-87.8815","41.88389"
"-87.6981","41.87390"
"-87.6403","41.69649"
"-87.6516","41.77770"
"-87.6603","41.74361"
"-87.6921","41.71821"
"-87.5985","41.63879"
"-87.5792","41.73934"
"-88.0993","42.05572"
