"","lng","lat"
"1","-87.6679","41.90926"
"2","-87.6563","41.91353"
"3","-87.7353","41.61841"
"4","-87.7480","41.54677"
"5","-87.7436","42.04685"
"6","-87.6380","41.56075"
"7","-87.7609","41.77578"
"8","-87.6685","41.97928"
"9","-87.8497","41.75430"
"10","-87.7835","41.98192"
"11","-87.8162","41.75294"
"12","-87.6489","41.93493"
"13","-87.7356","41.93323"
"14","-87.6071","41.72634"
"15","-87.9022","42.10692"
"16","-87.6339","41.85099"
"17","-87.6386","41.68690"
"18","-87.8850","41.90178"
"19","-87.9054","41.62516"
"20","-87.7232","42.07789"
"21","-87.8325","41.98765"
"22","-87.6474","41.79055"
"23","-87.8280","42.06167"
"24","-87.5838","41.61623"
"25","-87.6093","41.62414"
"26","-87.6533","41.97074"
"27","-87.7715","41.93030"
"28","-87.8354","41.59562"
"29","-88.1243","42.03824"
"30","-87.7188","41.85562"
"31","-87.6322","41.50406"
"32","-87.6756","41.94425"
"33","-87.6874","42.02812"
"34","-87.6741","41.95131"
"35","-87.7029","41.97268"
"36","-88.0448","42.09718"
"37","-87.5947","41.74521"
"38","-88.0326","42.03043"
"39","-87.6827","41.99830"
"40","-87.8803","41.91755"
"41","-87.6625","42.00170"
"42","-87.6132","41.64839"
"43","-87.7718","41.89924"
"44","-87.7589","41.82816"
"45","-87.7929","41.93556"
"46","-87.8018","41.59884"
"47","-87.7689","41.96293"
"48","-87.7426","41.61670"
"49","-87.9049","41.76461"
"50","-87.7401","42.09364"
"51","-88.1051","42.02743"
"52","-87.7240","42.07514"
"53","-87.8485","41.87690"
"54","-87.9836","42.14963"
"55","-87.7539","41.90348"
"56","-87.7863","41.85443"
"57","-87.8304","42.06252"
"58","-87.8048","41.98091"
"59","-87.7829","41.93992"
"60","-87.6184","41.63016"
"61","-87.6849","42.07160"
"62","-87.6137","41.70173"
"63","-87.7722","41.88800"
"64","-87.7440","41.94340"
"65","-87.7204","41.74802"
"66","-87.6420","41.91637"
"67","-87.8272","41.92248"
"68","-87.7208","41.94503"
"69","-87.6813","41.78068"
"70","-87.8472","42.05330"
"71","-87.6666","41.78831"
"72","-87.6741","42.01345"
"73","-88.1387","42.04000"
"74","-87.6320","41.54981"
"75","-87.8444","41.58713"
"76","-87.7669","41.78189"
"77","-87.5301","41.57246"
"78","-87.6731","41.58316"
"79","-87.7576","41.90514"
"80","-87.8224","42.02566"
"81","-87.8110","41.86685"
"82","-87.5529","41.56668"
"83","-87.8417","41.81347"
"84","-87.7239","41.84186"
"85","-87.6919","42.03781"
"86","-87.8956","42.03237"
"87","-88.0903","42.02356"
"88","-87.7723","41.95867"
"89","-87.7039","41.97640"
"90","-87.5552","41.55969"
"91","-87.7562","41.91531"
"92","-88.0071","42.12747"
"93","-87.7067","41.74498"
"94","-87.7176","41.91914"
"95","-87.8471","41.99454"
"96","-87.6636","41.99733"
"97","-87.6918","41.71105"
"98","-88.0962","42.04182"
"99","-87.6842","41.84539"
"100","-87.7017","41.48482"
"101","-88.2452","42.03918"
"102","-87.6397","41.92574"
"103","-87.7172","41.62758"
"104","-87.8861","41.92869"
"105","-87.6792","41.96575"
"106","-87.8352","41.89327"
"107","-87.7782","41.65535"
"108","-87.8485","41.87936"
"109","-87.6072","41.75497"
"110","-87.7912","41.87118"
"111","-87.7780","41.86962"
"112","-87.7264","42.07929"
"113","-87.8091","42.05794"
"114","-88.1613","42.02745"
"115","-87.6315","41.71853"
"116","-87.7684","41.88979"
"117","-87.6910","41.71740"
"118","-87.8081","41.95429"
"119","-87.6707","41.54521"
"120","-87.6856","42.03639"
"121","-87.7918","41.94244"
"122","-87.6226","41.80942"
"123","-87.7065","41.47403"
"124","-87.8394","42.01587"
"125","-87.6559","41.92332"
"126","-87.7651","41.97728"
"127","-87.6263","41.80518"
"128","-87.7193","42.09601"
"129","-87.5766","41.79574"
"130","-87.7847","41.85910"
"131","-87.7506","41.91986"
"132","-87.8762","42.13912"
"133","-87.6463","41.76968"
"134","-88.0201","42.07678"
"135","-87.7761","42.04244"
"136","-87.8585","42.11662"
"137","-87.6208","41.73766"
"138","-87.8913","41.91069"
"139","-87.6237","41.77041"
"140","-87.8400","41.88228"
"141","-87.6228","41.86397"
"142","-88.1156","42.03893"
"143","-87.6293","41.87271"
"144","-88.1207","42.09700"
"145","-87.7940","41.83820"
"146","-87.6080","41.74260"
"147","-87.6812","41.95231"
"148","-87.7043","41.78171"
"149","-88.1275","42.05754"
"150","-87.6830","41.65741"
"151","-87.8658","41.84777"
"152","-87.8851","41.87827"
"153","-87.7279","41.73082"
"154","-87.7714","41.97819"
"155","-87.7909","41.94915"
"156","-87.8621","41.56511"
"157","-87.6662","41.89621"
"158","-87.6533","41.48102"
"159","-87.6557","41.88132"
"160","-87.7939","41.94073"
"161","-87.8731","41.85102"
"162","-87.7300","41.77215"
"163","-87.7096","41.79451"
"164","-87.7576","41.88363"
"165","-87.7858","41.86923"
"166","-87.6572","41.81074"
"167","-87.8681","41.80744"
"168","-87.7957","41.87390"
"169","-87.6992","41.96224"
"170","-87.9585","42.12466"
"171","-87.7605","41.69564"
"172","-87.7217","41.92701"
"173","-87.6262","41.89211"
"174","-87.5652","41.49313"
"175","-87.8306","41.66735"
"176","-87.7603","41.86056"
"177","-87.6940","41.91050"
"178","-87.6947","41.99786"
"179","-87.6231","41.75875"
"180","-87.5658","41.75729"
"181","-87.6825","42.02279"
"182","-87.7179","41.80701"
"183","-87.6045","41.61193"
"184","-87.6670","41.92764"
"185","-87.7398","41.77900"
"186","-87.7796","41.56582"
"187","-87.7966","41.68877"
"188","-88.0737","41.99525"
"189","-87.6913","41.97112"
"190","-87.7783","41.92937"
"191","-87.7423","41.86792"
"192","-88.0001","41.99620"
"193","-87.8953","41.57383"
"194","-87.6951","41.61490"
"195","-87.5752","41.72856"
"196","-87.8504","41.82046"
"197","-87.6577","41.96818"
"198","-87.7629","41.84992"
"199","-87.6657","41.58237"
"200","-87.6385","41.84874"
"201","-87.7126","41.69396"
"202","-87.7973","41.77481"
"203","-87.6662","41.95160"
"204","-87.7078","41.68334"
"205","-87.6944","41.96491"
"206","-87.6575","41.99322"
"207","-87.6338","41.93330"
"208","-87.6280","41.86864"
"209","-87.6851","41.78082"
"210","-87.6966","41.60594"
"211","-87.7890","41.98963"
"212","-87.8987","41.78237"
"213","-87.8840","42.11394"
"214","-87.8564","42.01247"
"215","-87.8856","41.80601"
"216","-88.0916","42.01649"
"217","-87.6133","41.77812"
"218","-87.6967","41.53356"
"219","-87.7268","42.05026"
"220","-87.7627","41.71864"
"221","-87.6150","41.72837"
"222","-87.6432","41.77956"
"223","-87.8303","41.59595"
"224","-87.6412","41.75286"
"225","-87.7150","41.75012"
"226","-88.1257","42.08503"
"227","-87.7182","41.84548"
"228","-87.7713","41.94289"
"229","-87.6591","41.53936"
"230","-87.7692","41.99903"
"231","-87.7209","41.87354"
"232","-88.0711","42.12556"
"233","-87.8726","42.02085"
"234","-87.6698","41.75230"
"235","-88.0036","42.11670"
"236","-87.8014","41.86000"
"237","-87.6190","41.67932"
"238","-87.6293","41.90465"
"239","-87.8393","41.77348"
"240","-87.6589","41.68761"
"241","-87.6760","41.82696"
"242","-87.8555","41.89762"
"243","-87.8121","41.91093"
"244","-87.6691","41.78380"
"245","-87.6665","41.95531"
"246","-87.8547","41.69158"
"247","-87.5850","41.80008"
"248","-87.5564","41.61805"
"249","-87.9157","42.04266"
"250","-87.7241","41.92328"
"251","-87.6333","41.91155"
"252","-87.6867","41.87220"
"253","-87.7431","41.71660"
"254","-87.8399","41.84661"
"255","-87.7813","41.91906"
"256","-87.8521","42.02564"
"257","-87.5748","41.74418"
"258","-87.9590","42.03974"
"259","-87.8436","41.72572"
"260","-87.6911","41.92544"
"261","-87.7031","41.82136"
"262","-87.9397","42.05512"
"263","-87.8488","41.86508"
