"lng","lat"
"-87.8681","41.82141"
"-87.6968","41.95112"
"-87.8028","41.88578"
"-87.8753","41.87458"
"-88.0382","41.99603"
"-87.9396","42.02610"
"-87.7304","41.87365"
"-87.7875","41.77583"
"-87.5878","41.80562"
"-87.8568","41.89392"
"-87.6171","41.79793"
"-87.7429","42.04522"
"-87.8082","41.92723"
"-87.7398","41.90466"
"-87.7682","41.97519"
"-87.6929","41.79406"
"-88.0553","42.10475"
"-87.8040","41.90644"
"-87.6871","42.01424"
"-87.7373","41.79160"
"-87.6843","41.80237"
"-87.6619","41.98923"
"-87.7402","41.83775"
"-87.7464","41.85415"
"-87.6741","41.95525"
"-87.7843","41.93315"
"-87.7184","41.78069"
"-87.7887","41.83088"
"-87.8531","42.05709"
"-87.7330","41.86013"
"-87.7791","41.85270"
"-88.1405","42.00497"
"-87.7439","41.85159"
"-87.8176","41.99204"
"-87.7373","41.94287"
"-87.6426","41.47381"
"-88.1297","41.99701"
"-87.9041","41.78340"
"-87.6767","41.80571"
"-88.1813","42.01320"
"-87.7367","41.78292"
"-87.8905","41.84680"
"-87.7361","41.91820"
"-87.7423","41.96585"
"-87.8905","41.88932"
"-87.8241","42.03517"
"-87.7192","41.73956"
"-87.5932","41.79710"
"-87.7250","41.92895"
"-87.6940","42.02002"
"-87.7480","41.57799"
"-87.8055","41.97668"
"-87.7641","41.71314"
"-87.7873","41.92623"
"-87.7012","41.99108"
"-87.7908","41.92566"
"-87.7408","41.77653"
"-87.7038","42.00240"
"-87.6791","41.65286"
"-87.7172","41.83963"
"-87.7814","41.73780"
"-87.7365","41.79129"
"-88.0525","42.01249"
"-87.7919","41.83666"
"-87.7144","41.89622"
"-87.6621","41.99360"
"-87.7798","41.90049"
"-88.0722","42.02180"
"-87.7786","41.87558"
"-87.7337","41.78975"
"-87.7484","41.75495"
"-87.7021","41.77603"
"-87.6314","41.84996"
"-88.0026","42.05940"
"-87.6681","41.85386"
"-87.7293","41.96597"
"-87.7605","41.93454"
"-87.7794","41.85115"
"-87.7206","41.78649"
"-87.6336","41.90051"
"-87.7473","41.68549"
"-87.6287","41.90685"
"-87.7319","41.77553"
"-88.1914","42.07400"
"-88.0828","42.01127"
"-87.8043","41.79232"
"-87.6833","41.66514"
"-87.9480","42.03504"
"-87.8747","41.76813"
"-87.7171","41.95407"
"-87.6691","41.70371"
"-88.0241","42.14474"
"-87.7475","41.84593"
"-87.8543","41.81615"
"-87.7154","41.54876"
"-87.7082","41.77360"
"-87.6187","41.74393"
"-87.6599","41.98129"
"-87.9411","42.02313"
"-87.7368","41.94170"
"-87.9827","41.64319"
"-87.6878","41.70656"
"-87.5568","41.61597"
"-87.8207","41.80582"
"-87.6592","41.73868"
"-87.7097","41.90685"
"-87.7523","41.99554"
"-87.7111","42.04614"
"-88.0182","42.07474"
"-87.7101","41.89001"
"-88.1393","42.10142"
"-87.6869","41.77658"
"-87.6480","41.74884"
"-87.5441","41.74086"
"-87.6988","41.77391"
"-87.8891","41.83967"
"-87.7225","41.84111"
"-87.6856","41.76500"
"-87.7037","41.75861"
"-87.7342","41.77444"
"-87.6801","42.04027"
"-87.7230","41.79354"
"-87.6528","41.50057"
"-87.6910","41.77617"
"-87.6438","41.93900"
"-87.7167","41.77699"
"-87.6571","41.99138"
"-87.6669","41.85417"
"-87.7254","41.89250"
"-87.6536","41.85321"
"-87.5319","41.68852"
"-87.7482","41.95071"
"-87.7693","41.83358"
"-87.6903","41.84587"
"-87.7547","41.96154"
"-87.7715","41.96612"
"-87.6954","41.92258"
"-87.7332","41.90648"
"-87.7613","41.74892"
"-87.6137","41.89286"
