"","lng","lat"
"1","-88.2143","42.02798"
"2","-87.9589","42.12599"
"3","-87.7092","41.97067"
"4","-87.6715","41.93639"
"5","-87.6938","41.99603"
"6","-87.6626","41.98369"
"7","-87.7261","41.81151"
"8","-87.6592","41.99740"
"9","-87.8138","41.99055"
"10","-87.6245","41.86489"
"11","-87.7707","41.71176"
"12","-88.0588","42.07814"
"13","-87.8164","41.90281"
"14","-87.7500","41.95377"
"15","-88.2522","42.03868"
"16","-87.6961","41.97566"
"17","-87.8550","42.06677"
"18","-87.7698","41.93510"
"19","-87.8311","41.64168"
"20","-87.7729","42.04128"
"21","-87.6528","41.79864"
"22","-87.6613","41.49492"
"23","-87.6552","41.91582"
"24","-88.0970","42.11238"
"25","-87.6766","41.96216"
"26","-87.9038","42.10827"
"27","-88.1127","42.04867"
"28","-87.8330","41.58551"
"29","-87.7023","41.99537"
"30","-87.6901","42.05799"
"31","-87.8539","42.05655"
"32","-87.6800","41.61247"
"33","-87.6800","41.95133"
"34","-87.9808","42.11362"
"35","-87.7362","41.98736"
"36","-88.1194","42.01719"
"37","-87.9821","41.99992"
"38","-87.7032","41.80891"
"39","-87.6768","42.05867"
"40","-87.9159","42.09535"
"41","-87.7281","42.00684"
"42","-87.8528","42.12582"
"43","-87.7818","42.03201"
"44","-87.6262","41.90700"
"45","-87.6729","41.95159"
"46","-87.8605","42.06628"
"47","-87.7338","41.95475"
"48","-87.6267","41.89215"
"49","-87.8541","42.05178"
"50","-87.8081","41.60076"
"51","-87.8463","41.99362"
"52","-87.6469","41.86601"
"53","-87.7236","41.56132"
"54","-87.9335","42.04189"
"55","-87.6329","41.87536"
"56","-87.7070","42.01302"
"57","-87.9975","42.05404"
"58","-87.7095","41.82532"
"59","-87.6431","41.84432"
"60","-87.7156","41.47049"
"61","-87.7577","42.00772"
"62","-87.8477","42.11027"
"63","-87.8247","42.05475"
"64","-87.9894","42.01811"
"65","-88.1619","42.00945"
"66","-87.6416","41.93170"
"67","-87.9503","42.08500"
"68","-87.8303","41.97497"
"69","-87.8410","42.05754"
"70","-87.7227","42.03649"
"71","-87.6793","41.99143"
"72","-87.5882","41.78755"
"73","-88.2474","42.05116"
"74","-88.1054","42.10448"
"75","-87.6807","41.85244"
"76","-87.6863","41.99956"
"77","-87.6465","41.91204"
"78","-88.0482","42.07265"
"79","-87.7007","41.99424"
"80","-88.0888","42.11291"
"81","-87.6858","41.99648"
